Date,Carbon Price,Vol.,Oil,Coal Price,Gas,DAX
10/10/2014,6.02,0.0,85.81999969482422,72.45,3.8589999675750732,8788.8095703125
13/10/2014,6.04,1.34,85.73999786376953,72.2,3.9159998893737793,8812.4296875
14/10/2014,6.07,0.0,81.83999633789062,72.1,3.815999984741211,8825.2099609375
15/10/2014,6.14,0.51,81.77999877929688,72.15,3.799999952316284,8571.9501953125
16/10/2014,6.2,1.13,82.69999694824219,71.95,3.7960000038146973,8582.900390625
17/10/2014,6.12,1.0,82.75,71.95,3.7660000324249268,8850.26953125
20/10/2014,6.13,0.27,82.70999908447266,72.0,3.6700000762939453,8717.759765625
21/10/2014,6.17,1.07,82.80999755859375,72.2,3.7109999656677246,8886.9599609375
22/10/2014,6.21,0.09,80.5199966430664,72.9,3.6589999198913574,8940.1396484375
23/10/2014,6.32,2.03,82.08999633789062,73.0,3.621999979019165,9047.3095703125
24/10/2014,6.39,0.69,81.01000213623047,72.95,3.622999906539917,8987.7998046875
27/10/2014,6.27,0.0,81.0,72.85,3.561000108718872,8902.6103515625
28/10/2014,6.15,0.0,81.41999816894531,72.7,3.6489999294281006,9068.1904296875
29/10/2014,6.41,2.03,82.19999694824219,72.85,3.7279999256134033,9082.8095703125
30/10/2014,6.41,1.6,81.12000274658203,72.85,3.8269999027252197,9114.83984375
31/10/2014,6.34,0.1,80.54000091552734,72.85,3.872999906539917,9326.8701171875
03/11/2014,6.57,0.2,78.77999877929688,72.0,4.046000003814697,9251.7001953125
04/11/2014,6.47,0.03,77.19000244140625,71.55,4.129000186920166,9166.4697265625
05/11/2014,6.63,0.31,78.68000030517578,71.55,4.193999767303467,9315.48046875
06/11/2014,6.62,0.03,77.91000366210938,71.25,4.4039998054504395,9377.41015625
07/11/2014,6.75,0.01,78.6500015258789,71.9,4.4120001792907715,9291.830078125
10/11/2014,6.71,1.04,77.4000015258789,73.05,4.255000114440918,9351.8701171875
11/11/2014,6.79,0.08,77.94000244140625,73.65,4.247000217437744,9369.0302734375
12/11/2014,6.84,0.02,77.18000030517578,73.4,4.184999942779541,9210.9599609375
13/11/2014,6.78,0.01,74.20999908447266,73.65,3.9769999980926514,9248.509765625
14/11/2014,6.61,0.11,75.81999969482422,73.4,4.019999980926514,9252.9404296875
17/11/2014,6.89,0.27,75.63999938964844,73.9,4.341000080108643,9306.349609375
18/11/2014,7.01,3.53,74.61000061035156,74.15,4.24399995803833,9456.5302734375
